Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
Small Gods (A Novel of Discworld),9.99,62237373,Terry Pratchett,Paperback,400,"HarperCollins (October 29, 2013)",English,7.84oz,"4.19"" x 7.5"" x 0.9""",48,InStock
Any Duchess Will Do,8.99,62240129,Tessa Dare,Paperback,384,"HarperCollins (May 28, 2013)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
The Southerner's Handbook (A Guide to Living the Good Life),28.99,62242385,Editors of Garden and Gun,Hardcover,304,"HarperCollins (October 29, 2013)",English,18.94oz,"6.5"" x 7.81"" x 1.09""",28,InStock
Shake,17.99,62242644,Carli Davidson,Hardcover,144,"HarperCollins (October 22, 2013)",English,19.36oz,"8"" x 7.12""",24,InStock
The Art of Neil Gaiman,39.99,62248561,Hayley Campbell,Hardcover,320,"HarperCollins (May 20, 2014)",English,42.48oz,"8"" x 10"" x 1.03""",12,InStock
Red (A Crayon's Story),17.99,62252070,"Michael Hall, Michael Hall",Hardcover,40,"HarperCollins (February 3, 2015)",English,14.56oz,"8.25"" x 11.5""",36,InStock
The Kind Worth Killing (A Novel),25.99,62267523,Peter Swanson,Hardcover,320,"HarperCollins (February 3, 2015)",English,16.32oz,"6"" x 9"" x 1.06""",28,InStock
Saved by the Rancher (Book One: The Hunted Series),8.99,62268031,Jennifer Ryan,Paperback,464,"HarperCollins (March 26, 2013)",English,16oz,"4.19"" x 6.75"" x 1.16""",48,InStock
"Fancy Nancy: Nancy Clancy, Star of Stage and Screen",9.99,006226964X,"Jane O'Connor, Robin Preiss Glasser",Hardcover,128,"HarperCollins (February 3, 2015)",English,8.8oz,"5.38"" x 8"" x 0.61""",36,InStock
Fancy Nancy: Sand Castles and Sand Palaces,4.99,62269542,"Jane O'Connor, Robin Preiss Glasser",Paperback,24,"HarperCollins (April 22, 2014)",English,3.14oz,"8"" x 8"" x 0.05""",100,InStock
Twelve Recipes,27.99,62270303,Cal Peternell,Hardcover,304,"HarperCollins (October 21, 2014)",English,32.8oz,"7"" x 9.12"" x 1.18""",16,InStock
The Eighth Day,16.99,62272152,"Dianne K. Salerni, David McClellan",Hardcover,320,"HarperCollins (April 22, 2014)",English,14.08oz,"5.5"" x 8.25"" x 1.05""",40,InStock
The Exorcist,7.99,61007226,William Peter Blatty,Paperback,400,"HarperCollins (May 28, 2013)",English,6.64oz,"4.1875"" x 6.75"" x 1""",48,InStock
Pete the Cat and His Magic Sunglasses,18.89,62275577,"James Dean, James Dean, Kimberly Dean",Hardcover,40,"HarperCollins (October 1, 2013)",English,13.82oz,"8.5"" x 11""",38,InStock
The Keepers: The Box and the Dragonfly,16.99,62275828,"Ted Sanders, Iacopo Bruno",Hardcover,544,"HarperCollins (March 3, 2015)",English,21.12oz,"5.5"" x 8.25"" x 1.61""",24,InStock
Cycle of Lies (The Fall of Lance Armstrong),15.99,62277235,Juliet Macur,Paperback,480,"HarperCollins (April 7, 2015)",English,13.12oz,"5.31"" x 8"" x 0.78""",36,InStock
Paula (A Memoir),16.99,61564907,Isabel Allende,Paperback,368,"HarperCollins (May 7, 2013)",English,9.54oz,"5.31"" x 8"" x 0.83""",52,InStock
"Smoke (How a Small-Town Girl Accidentally Wound Up Smuggling 7,000 Pounds of Marijuana with the Pot Princess of Beverly Hills)",15.99,62281909,Meili Cady,Paperback,272,"HarperCollins (March 24, 2015)",English,11.12oz,"5.5"" x 8.25"" x 0.68""",36,InStock
The December Project (An Extraordinary Rabbi and a Skeptical Seeker Confront Life's Greatest Mystery),14.99,62281755,Sara Davidson,Paperback,208,"HarperCollins (April 7, 2015)",English,5.44oz,"5.31"" x 8"" x 0.47""",88,InStock
Terms of Service (Social Media and the Price of Constant Connection),26.99,62282468,Jacob Silverman,Hardcover,448,"HarperCollins (March 17, 2015)",English,23.36oz,"6"" x 9"" x 1.37""",24,InStock
Big Nate: In a Class by Himself,7.99,62283596,"Lincoln Peirce, Lincoln Peirce",Paperback,224,"HarperCollins (March 10, 2015)",English,8.45oz,"5.5"" x 8.25"" x 0.62""",48,InStock
Root to Leaf (A Southern Chef Cooks Through the Seasons),45,62283693,Steven Satterfield,Hardcover,496,"HarperCollins (March 3, 2015)",English,55.04oz,"7.5"" x 9.19"" x 1.45""",10,InStock
A Deadly Wandering (A Tale of Tragedy and Redemption in the Age of Attention),28.99,62284061,Matt Richtel,Hardcover,416,"HarperCollins (September 23, 2014)",English,20.32oz,"6"" x 9"" x 1.29""",28,InStock
Pretty Little Liars #16: Vicious,17.99,62287044,Sara Shepard,Hardcover,352,"HarperCollins (December 2, 2014)",English,15.36oz,"5.5"" x 8.25"" x 1.13""",36,InStock
The First Phone Call from Heaven (A Novel),16.99,62294407,Mitch Albom,Paperback,336,"HarperCollins (October 21, 2014)",English,9.6oz,"5.5"" x 7.25"" x 0.84""",52,InStock
Lost River (A Cooper & Fry Mystery),11.99,62365754,Stephen Booth,Paperback,416,"HarperCollins (August 12, 2014)",English,12.48oz,"5.31"" x 8"" x 0.94""",40,InStock
Did God Kill Jesus? (Searching for Love in History's Most Famous Execution),26.99,62297961,Tony Jones,Hardcover,304,"HarperCollins (March 24, 2015)",English,15.68oz,"6"" x 9"" x 1.01""",36,InStock
"Joey and Johnny, the Ninjas: Get Mooned",12.99,62299336,"Kevin Serwacki, Chris Pallace, Chris Pallace, Kevin Serwacki",Hardcover,320,"HarperCollins (March 31, 2015)",English,13.76oz,"5.5"" x 8.25"" x 1.05""",40,InStock
Welcome to Braggsville (A Novel),25.99,62302124,T. Geronimo Johnson,Hardcover,384,"HarperCollins (February 17, 2015)",English,18.88oz,"6"" x 9"" x 1.21""",28,InStock
"True Story tie-in edition (Murder, Memoir, Mea Culpa)",17.99,62339273,Michael Finkel,Paperback,352,"HarperCollins (April 7, 2015)",English,8.96oz,"5.31"" x 8"" x 0.79""",52,InStock
Sapiens (A Brief History of Humankind),37.5,62316095,Yuval Noah Harari,Hardcover,464,"HarperCollins (February 10, 2015)",English,39.04oz,"6"" x 9"" x 1.37""",12,InStock
The Orphan Queen,17.99,62317385,Jodi Meadows,Hardcover,400,"HarperCollins (March 10, 2015)",English,16.32oz,"5.5"" x 8.25"" x 1.25""",32,InStock
Bone Gap,17.99,62317601,Laura Ruby,Hardcover,368,"HarperCollins (March 3, 2015)",English,15.68oz,"5.5"" x 8.25"" x 1.17""",36,InStock
